,X,Y,KMean2,KMean3,KMean4,KMean5,KMean6
3639,-122.466204668,37.7725405392,1,2,2,4,4
5422,-122.403404791,37.7754207067,0,1,3,2,2
6862,-122.409660752,37.7864394525,0,1,3,2,2
7560,-122.417955822,37.7578801214,1,0,1,1,1
8692,-122.410699658,37.7869881885,0,1,3,2,2
8726,-122.410699658,37.7869881885,0,1,3,2,2
8736,-122.410699658,37.7869881885,0,1,3,2,2
8781,-122.417817853,37.7578884408,1,0,1,1,1
8939,-122.388379874,37.7833104067,0,1,3,2,2
8940,-122.388379874,37.7833104067,0,1,3,2,2
8986,-122.388379874,37.7833104067,0,1,3,2,2
8987,-122.388379874,37.7833104067,0,1,3,2,2
9011,-122.388379874,37.7833104067,0,1,3,2,2
9012,-122.388379874,37.7833104067,0,1,3,2,2
9077,-122.403404791,37.7754207067,0,1,3,2,2
9078,-122.403404791,37.7754207067,0,1,3,2,2
9104,-122.388379874,37.7833104067,0,1,3,2,2
9105,-122.388379874,37.7833104067,0,1,3,2,2
9125,-122.388379874,37.7833104067,0,1,3,2,2
9126,-122.388379874,37.7833104067,0,1,3,2,2
9399,-122.405941469,37.790463178,0,1,3,2,2
9410,-122.407114491,37.7899019823,0,1,3,2,2
9427,-122.411747372,37.7859988324,0,1,0,0,0
9452,-122.426508142,37.7859342572,0,1,0,0,0
9467,-122.470190416,37.7808757917,0,1,0,0,0
9555,-122.417997608,37.7769551138,0,1,0,0,0
13724,-122.478349616,37.7513339692,1,2,2,4,4
14615,-122.415781282,37.7588312135,1,0,1,1,1
14643,-122.417964484,37.7586968166,1,0,1,1,1
16922,-122.458860616,37.7812550935,0,1,0,0,0
19003,-122.400916029,37.7854574903,0,1,3,2,2
19004,-122.400916029,37.7854574903,0,1,3,2,2
19024,-122.400916029,37.7854574903,0,1,3,2,2
19025,-122.400916029,37.7854574903,0,1,3,2,2
19028,-122.400916029,37.7854574903,0,1,3,2,2
19029,-122.400916029,37.7854574903,0,1,3,2,2
19036,-122.400916029,37.7854574903,0,1,3,2,2
19037,-122.400916029,37.7854574903,0,1,3,2,2
19047,-122.400916029,37.7854574903,0,1,3,2,2
19048,-122.400916029,37.7854574903,0,1,3,2,2
19050,-122.400916029,37.7854574903,0,1,3,2,2
19051,-122.400916029,37.7854574903,0,1,3,2,2
19060,-122.400916029,37.7854574903,0,1,3,2,2
19061,-122.400916029,37.7854574903,0,1,3,2,2
19088,-122.400916029,37.7854574903,0,1,3,2,2
19092,-122.400916029,37.7854574903,0,1,3,2,2
19093,-122.400916029,37.7854574903,0,1,3,2,2
19122,-122.400916029,37.7854574903,0,1,3,2,2
19123,-122.400916029,37.7854574903,0,1,3,2,2
19124,-122.400916029,37.7854574903,0,1,3,2,2
19125,-122.400916029,37.7854574903,0,1,3,2,2
19143,-122.400916029,37.7854574903,0,1,3,2,2
19144,-122.400916029,37.7854574903,0,1,3,2,2
19152,-122.400916029,37.7854574903,0,1,3,2,2
19153,-122.400916029,37.7854574903,0,1,3,2,2
19280,-122.47548463,37.7383655655,1,2,2,3,3
19407,-122.408231026,37.787359495,0,1,3,2,2
19728,-122.418467748,37.787965257,0,1,0,0,0
19729,-122.418467748,37.787965257,0,1,0,0,0
20265,-122.417812559,37.7571005796,1,0,1,1,1
20371,-122.417812559,37.7571005796,1,0,1,1,1
20469,-122.41592985,37.7604330004,1,0,1,1,1
20470,-122.41592985,37.7604330004,1,0,1,1,1
20670,-122.418467748,37.787965257,0,1,0,0,0
20672,-122.418467748,37.787965257,0,1,0,0,0
21023,-122.41592985,37.7604330004,1,0,1,1,1
21056,-122.414693065,37.7588955948,1,0,1,1,1
21293,-122.418467748,37.787965257,0,1,0,0,0
21500,-122.41592985,37.7604330004,1,0,1,1,1
21797,-122.418467748,37.787965257,0,1,0,0,0
21812,-122.418467748,37.787965257,0,1,0,0,0
22496,-122.41592985,37.7604330004,1,0,1,1,1
22498,-122.41592985,37.7604330004,1,0,1,1,1
22643,-122.418467748,37.787965257,0,1,0,0,0
22657,-122.418467748,37.787965257,0,1,0,0,0
22778,-122.418467748,37.787965257,0,1,0,0,0
22780,-122.418467748,37.787965257,0,1,0,0,0
23301,-122.418467748,37.787965257,0,1,0,0,0
23302,-122.418467748,37.787965257,0,1,0,0,0
23532,-122.419360353,37.7618358012,1,0,1,1,1
23533,-122.419360353,37.7618358012,1,0,1,1,1
23727,-122.418486297,37.7634954373,1,0,1,1,1
24387,-122.41592985,37.7604330004,1,0,1,1,1
24388,-122.41592985,37.7604330004,1,0,1,1,1
24389,-122.41592985,37.7604330004,1,0,1,1,1
24390,-122.41592985,37.7604330004,1,0,1,1,1
25152,-122.41592985,37.7604330004,1,0,1,1,1
25255,-122.41592985,37.7604330004,1,0,1,1,1
25256,-122.41592985,37.7604330004,1,0,1,1,1
26751,-122.418467748,37.787965257,0,1,0,0,0
27283,-122.409876623,37.787148808,0,1,3,2,2
27413,-122.418467748,37.787965257,0,1,0,0,0
27529,-122.41592985,37.7604330004,1,0,1,1,1
27561,-122.41592985,37.7604330004,1,0,1,1,1
27583,-122.41592985,37.7604330004,1,0,1,1,1
27810,-122.41592985,37.7604330004,1,0,1,1,1
27812,-122.41592985,37.7604330004,1,0,1,1,1
28103,-122.418368839,37.7874861572,0,1,0,0,0
28104,-122.418467748,37.787965257,0,1,0,0,0
28107,-122.418274172,37.7870372044,0,1,0,0,0
28109,-122.426635077,37.7549624154,1,0,1,1,1
28118,-122.417332583,37.7635718956,1,0,1,1,1
29453,-122.383433949,37.729738145,1,0,1,1,5
30759,-122.417812559,37.7571005796,1,0,1,1,1
33234,-122.412502864,37.7590272974,1,0,1,1,1
35274,-122.406775392,37.7884982866,0,1,3,2,2
38512,-122.40840386,37.7882933915,0,1,3,2,2
39536,-122.405466576,37.7646048757,1,0,1,1,1
40013,-122.417964484,37.7586968166,1,0,1,1,1
40923,-122.417903978,37.7851670876,0,1,0,0,0
42584,-122.409876623,37.787148808,0,1,3,2,2
44369,-122.412173946,37.7629167767,1,0,1,1,1
45253,-122.411090795,37.7617009782,1,0,1,1,1
45938,-122.403409085,37.7531779939,1,0,1,1,1
49943,-122.41766064,37.755504342,1,0,1,1,1
51579,-122.414233849,37.7540986882,1,0,1,1,1
55095,-122.395565262,37.7626384173,1,0,1,1,1
56816,-122.385001534,37.7330708174,1,0,1,1,5
59882,-122.441811628,37.7990019437,0,1,0,0,0
59966,-122.469628051,37.7817199969,0,1,0,0,0
59973,-122.504883711,37.7530422086,1,2,2,4,4
60005,-122.481592052,37.7427355501,1,2,2,4,4
60046,-122.490170247,37.7424682354,1,2,2,4,4
61210,-122.408384276,37.7878271137,0,1,3,2,2
61508,-122.409925328,37.787764099,0,1,3,2,2
65102,-122.408384276,37.7878271137,0,1,3,2,2
68820,-122.413045094,37.7589402059,1,0,1,1,1
68828,-122.412179604,37.7622630617,1,0,1,1,1
68936,-122.405468776,37.7639259195,1,0,1,1,1
70097,-122.418445946,37.7882184508,0,1,0,0,0
71380,-122.392347672,37.7890603556,0,1,3,2,2
72519,-122.409256096,37.7882398998,0,1,3,2,2
73077,-122.410519782,37.7527667267,1,0,1,1,1
73085,-122.434457354,37.7609766091,1,0,1,1,1
73480,-122.405468776,37.7639259195,1,0,1,1,1
73481,-122.405468776,37.7639259195,1,0,1,1,1
76129,-122.404828019,37.7897596938,0,1,3,2,2
79238,-122.41027135,37.7895016292,0,1,3,2,2
81292,-122.410791678,37.783695227,0,1,3,2,2
82513,-122.412422725,37.7648250318,1,0,1,1,1
84336,-122.42480864,37.798391758,0,1,0,0,0
87529,-122.412439198,37.787722739,0,1,0,0,0
95037,-122.50966216,37.763035554,1,2,2,4,4
95039,-122.50966216,37.763035554,1,2,2,4,4
95042,-122.50966216,37.763035554,1,2,2,4,4
95044,-122.50966216,37.763035554,1,2,2,4,4
95045,-122.50966216,37.763035554,1,2,2,4,4
95046,-122.50966216,37.763035554,1,2,2,4,4
95047,-122.50966216,37.763035554,1,2,2,4,4
95683,-122.50966216,37.763035554,1,2,2,4,4
96409,-122.50966216,37.763035554,1,2,2,4,4
96824,-122.400916029,37.7854574903,0,1,3,2,2
96827,-122.400916029,37.7854574903,0,1,3,2,2
97126,-122.404195425,37.7912255174,0,1,3,2,2
97940,-122.41382007,37.785738295,0,1,0,0,0
97941,-122.41382007,37.785738295,0,1,0,0,0
98278,-122.406886504,37.7887345764,0,1,3,2,2
98289,-122.406886504,37.7887345764,0,1,3,2,2
98291,-122.406886504,37.7887345764,0,1,3,2,2
98294,-122.406886504,37.7887345764,0,1,3,2,2
98303,-122.406886504,37.7887345764,0,1,3,2,2
98307,-122.406886504,37.7887345764,0,1,3,2,2
98310,-122.406886504,37.7887345764,0,1,3,2,2
98312,-122.406886504,37.7887345764,0,1,3,2,2
98314,-122.406886504,37.7887345764,0,1,3,2,2
99887,-122.410699658,37.7869881885,0,1,3,2,2
101491,-122.406886504,37.7887345764,0,1,3,2,2
101494,-122.406886504,37.7887345764,0,1,3,2,2
101498,-122.406886504,37.7887345764,0,1,3,2,2
101501,-122.406886504,37.7887345764,0,1,3,2,2
101502,-122.406886504,37.7887345764,0,1,3,2,2
101505,-122.406886504,37.7887345764,0,1,3,2,2
101507,-122.406886504,37.7887345764,0,1,3,2,2
101511,-122.406886504,37.7887345764,0,1,3,2,2
101512,-122.406886504,37.7887345764,0,1,3,2,2
101523,-122.406886504,37.7887345764,0,1,3,2,2
101526,-122.406886504,37.7887345764,0,1,3,2,2
101529,-122.406886504,37.7887345764,0,1,3,2,2
101532,-122.406886504,37.7887345764,0,1,3,2,2
101540,-122.406886504,37.7887345764,0,1,3,2,2
101541,-122.406886504,37.7887345764,0,1,3,2,2
101546,-122.406886504,37.7887345764,0,1,3,2,2
101783,-122.406886504,37.7887345764,0,1,3,2,2
103090,-122.380028764,37.7320374278,1,0,1,1,5
104179,-122.408384276,37.7878271137,0,1,3,2,2
106263,-122.412755326,37.7867259286,0,1,0,0,0
113786,-122.489090192,37.7424057567,1,2,2,4,4
119559,-122.410111374,37.778632049,0,1,3,2,2
126852,-122.411800135,37.7840890367,0,1,0,0,0
128208,-122.422254495,37.7773983117,0,1,0,0,0
133917,-122.403404791,37.7754207067,0,1,3,2,2
134383,-122.410699658,37.7869881885,0,1,3,2,2
134384,-122.410699658,37.7869881885,0,1,3,2,2
134386,-122.410699658,37.7869881885,0,1,3,2,2
134388,-122.410699658,37.7869881885,0,1,3,2,2
134390,-122.410699658,37.7869881885,0,1,3,2,2
134392,-122.410699658,37.7869881885,0,1,3,2,2
134393,-122.410699658,37.7869881885,0,1,3,2,2
134397,-122.410699658,37.7869881885,0,1,3,2,2
134398,-122.410699658,37.7869881885,0,1,3,2,2
134399,-122.410699658,37.7869881885,0,1,3,2,2
141363,-122.400916029,37.7854574903,0,1,3,2,2
